"CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP"
"Jian",22,22,0,27.0515,114.5752,4899000
"Yingtan",18,18,0,28.1535,117.0407,1153300
"Jingdezhen",6,6,0,29.1608,117.1041,1655000
"Shenyang",28,26,0,41.4744,123.2653,8257000
"Dalian",19,17,0,38.5515,121.3821,6988000
"Huludao",12,9,1,40.4240,120.5013,2556000
"Jinzhou",12,12,0,41.0545,121.0735,3068000
"Dandong",11,7,0,40.0002,124.2114,2411000
"Panjin",11,11,0,41.0712,122.0415,1437000
"Fuxin",8,8,0,42.0118,121.4011,1778000
"Tieling",7,7,0,42.1326,123.4333,2653000
"Chaoyang",6,5,0,41.3425,120.2658,2952000
"Anshan",4,4,0,41.0630,122.5936,3609000
"Benxi",3,3,0,41.1739,123.4556,1719000
"Liaoyang",3,3,0,41.1602,123.1413,1846000
"Yingkou",1,1,0,40.4004,122.1404,2443000
"Macau",10,10,0,22.1987,113.5439,672000
"Ordos",11,11,0,39.3630,109.4653,2055300
"Baotou",11,9,0,40.3929,109.5025,2829300
"Chifeng",9,9,0,42.1528,118.5313,4299500
"Xilinguole",9,9,0,43.5601,116.0252,1042600
"Bayannaoer",8,7,1,40.4436,107.2315,1677300
"Tongliao",7,7,0,43.3910,122.1437,3120800
"Huhehaote",7,6,0,40.5032,111.4501,3126000
"Hulunbeier",7,7,0,49.1242,119.4557,2526500
"Wulanchabu",3,3,0,40.5942,113.0755,2111300
"Wuhai",2,2,0,39.3918,106.4739,555800
"Xinganmeng",1,1,0,46.0457,122.0215,1599100
"Yinchuan",36,34,0,38.2915,106.1351,2164100
"Wuzhong",28,28,0,37.5951,106.1154,1373200
"Guyuan",5,5,0,36.0057,106.1433,1228200
"Zhongwei",4,3,0,37.3000,105.1148,1214200
"Shizuishan",1,1,0,38.5900,106.2258,803000
"Xining",15,15,0,36.3701,101.4641,2310800
"Beihaizhou",3,3,0,36.5716,100.5402,278700
"Chengdu",144,121,3,30.5728,104.0668,16330000
"Ganzi",78,76,0,30.0258,101.5745,1164900
"Dazhou",42,42,0,31.1232,107.2803,5597700
"Nanchong",39,39,0,30.5016,106.0631,6364000
"Guangan",30,30,0,30.2719,106.3759,3246600
"Luzhou",24,24,0,28.5216,105.2627,4317200
