"","CITY","TOT_CONF","TOT_RECOV","TOT_DEATH","LATITUDE","LONGITUDE","TOT_POP","RATE"
"105","Xiangyang",1175,1112,38,32.0032,112.0723,6500000,0.000180769230769231
"106","Huangshi",1015,938,38,30.12,115.022,2458000,0.000412937347436941
"107","Yichang",931,847,36,30.4216,111.1719,4135900,0.000225102154307406
"108","Jingmen",928,839,39,31.0207,112.1158,2896300,0.000320408797431205
"109","Xianning",836,816,14,29.5029,114.1922,2507000,0.000333466294375748
"110","Shiyan",672,626,8,32.3746,110.4754,3383000,0.00019864026012415
"111","Xiantao",575,520,22,30.3609,113.4235,1175000,0.00048936170212766
"112","Tianmen",496,476,15,30.6531,113.1659,1731000,0.000286539572501444
"113","Enshizhou",252,236,7,30.1619,109.2917,3327000,7.57439134355275e-05
"114","Qianjiang",198,182,9,30.0439,112.3901,962000,0.000205821205821206
"115","Shennongjia",11,11,0,31.744,110.68,76140,0.000144470711846598
"116","Tangshan",58,55,1,39.3752,118.1044,7935800,7.30865193175231e-06
"117","Cangzhou",48,45,3,38.1816,116.5019,7443000,6.44901249496171e-06
"118","Zhangjiakou",41,41,0,40.4603,114.5309,4421700,9.27245177194292e-06
"119","Handan",32,32,0,36.3733,114.322,9433000,3.39234601929397e-06
"120","Baoding",32,32,0,38.5228,115.2752,11552400,2.76998718880925e-06
"121","Langfang",30,30,0,39.3217,116.4102,4740900,6.32791242169208e-06
"122","Shijiazhuang",29,29,0,38.0238,114.305,10701600,2.70987515885475e-06
"123","Xingtai",23,22,1,37.0412,114.3018,7294400,3.15310375082255e-06
"124","Qinhuangdao",10,9,1,39.561,119.36,3073200,3.25393726408955e-06
"125","Hengshui",8,8,0,37.442,115.4012,4435400,1.80367046940524e-06
"126","Chengde",7,7,0,40.5711,117.5747,3530100,1.98294665873488e-06
"127","Sanya",54,53,1,18.151,109.304,748900,7.2105755107491e-05
"128","Haikou",39,38,0,20.03,110.1,2272100,1.7164737467541e-05
"129","Danzhou",15,13,1,19.3116,109.3452,977700,1.53421294875729e-05
"130","Wanning",13,13,0,18.7951,110.3911,545597,2.38271104863113e-05
"131","Chengmai",9,8,1,19.7385,110.0068,590000,1.52542372881356e-05
"132","Changjiang",7,7,0,19.2982,109.0557,230000,3.04347826086957e-05
"133","Qionghai",6,5,1,18.19,110.4,483217,1.24167816943526e-05
"134","Lingao",6,6,0,19.912,109.6905,473000,1.26849894291755e-05
"135","Lingshui",4,4,0,18.3,110.012,330000,1.21212121212121e-05
"136","Baoting",3,3,0,18.6391,109.7026,160000,1.875e-05
"137","Dongfang",3,2,1,19.0954,108.6518,435000,6.89655172413793e-06
"138","Dingan",3,2,1,19.6814,110.3589,310000,9.67741935483871e-06
"139","Wenchang",3,3,0,19.5433,110.7978,558000,5.37634408602151e-06
"140","Ledong",2,2,0,18.7503,109.1731,460000,4.34782608695652e-06
"141","Qiongzhong",1,1,0,19.0334,109.8384,2e+05,5e-06
"142","Hongkong",114,59,3,22.3193,114.1694,7482500,1.52355496157701e-05
"143","Harbin",198,186,4,45.4805,126.3145,10630000,1.86265286923801e-05
"144","Shuangyashan",52,47,3,46.3846,131.0931,1474300,3.52709760564336e-05
"145","Suihua",47,41,4,46.3914,126.5808,5485100,8.56866784561813e-06
"146","Jixi",46,45,0,45.1744,130.5808,1811700,2.53905171937959e-05
"147","Qiqihaer",43,40,1,47.2113,123.5507,5493700,7.82714745981761e-06
"148","Daqing",26,23,1,46.352,125.0614,2774800,9.37004468790544e-06
"149","Qitaihe",17,16,0,45.4619,131.0006,831100,2.04548189146914e-05
"150","Jiamusi",15,15,0,46.48,130.1905,2375500,6.31446011366028e-06
"151","Mudanjiang",15,13,0,44.3307,129.3759,2620400,5.72431689818348e-06
"152","Heihe",14,13,0,50.1442,127.3141,1679400,8.33631058711445e-06
"153","Hegang",5,4,0,47.21,130.1753,1056100,4.73440015150081e-06
"154","Daxinganling",3,2,0,49.2257,123.0924,472400,6.35055038103302e-06
"155","Yichun",1,1,0,47.4339,128.5026,1211900,8.25150589982672e-07
"156","Changsha",242,236,2,28.1146,112.582,7918100,3.05628875614099e-05
"157","Yueyang",156,153,1,29.2124,113.0744,5933300,2.62922825409132e-05
"158","Shaoyang",102,100,1,27.142,111.2803,7261700,1.40462976988859e-05
"159","Changde",82,82,0,29.0154,111.4155,5843900,1.4031725388867e-05
"160","Zhuzhou",80,78,0,27.4941,113.0802,4000500,1.99975003124609e-05
"161","Loudi",76,75,0,27.42,111.5935,3871800,1.96291130740224e-05
"162","Yiyang",60,60,0,28.3314,112.2118,4410200,1.36048251779965e-05
"163","Hengyang",48,48,0,26.5335,112.3419,7337500,6.54173764906303e-06
"164","Yongzhou",44,44,0,26.2512,111.3647,5429700,8.10357846658195e-06
"165","Huaihua",40,40,0,27.341,110.0006,5235200,7.64058679706601e-06
"166","Chenzhou",39,39,0,25.4614,113.0052,4730200,8.24489450763181e-06
"167","Xiangtan",36,36,0,27.4948,112.5638,2865000,1.2565445026178e-05
"168","Xiangxi",8,8,0,28.1843,109.442,2634500,3.03662934143101e-06
"169","Zhangjiajie",5,5,0,29.0701,110.2844,1524000,3.28083989501312e-06
"170","Changchun",45,45,0,43.530449,125.190635,7533000,5.97371565113501e-06
"171","Siping",15,14,1,43.0958,124.21,3264100,4.59544744339941e-06
"172","Liaoyuan",7,7,0,42.5317,125.0838,1208000,5.79470198675497e-06
"173","Tonghua",6,5,0,41.4341,125.5624,2211000,2.71370420624152e-06
"174","Gongzhuling",6,6,0,43.3,124.49,1082266,5.54392358255734e-06
"175","Yanbian",5,5,0,42.5328,129.3032,2135800,2.34104316883603e-06
"176","Jilin",5,5,0,43.8379,126.5496,27530000,1.81620050853614e-07
"177","Songyuan",2,2,0,45.0831,124.493,2780700,7.19243355989499e-07
"178","Baicheng",1,1,0,45.3712,122.502,1966700,5.08465958204098e-07
"179","Meihekou",1,1,0,42.5393,125.7109,810000,1.23456790123457e-06
"180","Nanjing",93,93,0,32.03,118.46,8436200,1.10239207226002e-05
"181","Suzhou",87,87,0,31.3,120.37,10721900,8.11423348473685e-06
"182","Xuzhou",79,79,0,34.1218,117.1659,9800000,8.06122448979592e-06
"183","Huaian",66,66,0,33.33,119.065,4872000,1.35467980295567e-05
"184","Wuxi",55,54,0,31.2924,120.1847,6574500,8.36565518290364e-06
"185","Changzhou",51,51,0,31.4836,119.5834,4729000,1.07845210403891e-05
"186","Lianyungang",48,48,0,34.3549,119.1319,4518400,1.06232294617564e-05
"187","Nantong",40,40,0,31.5848,120.5342,7300000,5.47945205479452e-06
"188","Taizhou",37,37,0,32.2718,119.5523,4641600,7.97138917614616e-06
"189","Yancheng",27,27,0,33.2049,120.095,8247000,3.27391778828665e-06
"190","Yangzhou",23,23,0,32.2335,119.2454,4523600,5.08444601644708e-06
"191","Suqian",13,13,0,33.5745,118.1633,4853800,2.67831389838889e-06
"192","Zhenjiang",12,12,0,32.1117,119.2541,3176500,3.77774279867779e-06
"193","Nanchang",230,230,0,28.4038,115.5358,5545500,4.14750698764764e-05
"194","Xinyu",130,130,0,27.4903,114.5501,1166700,0.000111425387846062
"195","Shangrao",123,123,0,28.2718,117.5635,6715100,1.83169275215559e-05
"196","Jiujiang",118,118,0,29.4219,116.0009,4896800,2.40973697108316e-05
"197","Yichun",106,106,0,27.4857,114.25,5512000,1.92307692307692e-05
"198","Ganzhou",76,75,1,25.495,114.5558,8588700,8.84883626159954e-06
"199","Fuzhou",72,72,0,27.5658,116.213,3992800,1.80324584251653e-05
"200","Pingxiang",33,33,0,27.3723,113.5116,1901100,1.73583714691494e-05
"201","Jian",22,22,0,27.0515,114.5752,4899000,4.49071239028373e-06
"202","Yingtan",18,18,0,28.1535,117.0407,1153300,1.56073874967485e-05
"203","Jingdezhen",6,6,0,29.1608,117.1041,1655000,3.62537764350453e-06
"204","Shenyang",28,26,0,41.4744,123.2653,8257000,3.39106212910258e-06
"205","Dalian",19,17,0,38.5515,121.3821,6988000,2.71894676588437e-06
"206","Huludao",12,9,1,40.424,120.5013,2556000,4.69483568075117e-06
"207","Jinzhou",12,12,0,41.0545,121.0735,3068000,3.91134289439374e-06
"208","Dandong",11,7,0,40.0002,124.2114,2411000,4.56242223143924e-06
"209","Panjin",11,11,0,41.0712,122.0415,1437000,7.65483646485734e-06
"210","Fuxin",8,8,0,42.0118,121.4011,1778000,4.49943757030371e-06
"211","Tieling",7,7,0,42.1326,123.4333,2653000,2.63852242744063e-06
"212","Chaoyang",6,5,0,41.3425,120.2658,2952000,2.03252032520325e-06
"213","Anshan",4,4,0,41.063,122.5936,3609000,1.10834026045996e-06
"214","Benxi",3,3,0,41.1739,123.4556,1719000,1.74520069808028e-06
"215","Liaoyang",3,3,0,41.1602,123.1413,1846000,1.62513542795233e-06
"216","Yingkou",1,1,0,40.4004,122.1404,2443000,4.09332787556283e-07
"217","Macau",10,10,0,22.1987,113.5439,672000,1.48809523809524e-05
"218","Ordos",11,11,0,39.363,109.4653,2055300,5.35201673721598e-06
"219","Baotou",11,9,0,40.3929,109.5025,2829300,3.88788746333015e-06
"220","Chifeng",9,9,0,42.1528,118.5313,4299500,2.09326665891383e-06
"221","Xilinguole",9,9,0,43.5601,116.0252,1042600,8.63226549012085e-06
"222","Bayannaoer",8,7,1,40.4436,107.2315,1677300,4.76957014249091e-06
